Iteration	Loss (h + target_loss)	Total Cost (f)	Cost g
1	0.8547072410583496	0.8447072410583496	0
2	0.7778897881507874	0.768060729598999	0.00017094144821166993
3	0.7025080323219299	0.6928499152183533	0.00034188289642333986
4	0.6314693093299866	0.6219821336746215	0.0005128243446350098
5	0.5677174925804138	0.5584012583732605	0.0006837657928466797
6	0.5145293474197388	0.505384054660797	0.0008547072410583496
7	0.47883227467536926	0.4698579233646393	0.0010256486892700196
8	0.46180835366249084	0.4530049437999725	0.0011965901374816896
9	0.45126745104789734	0.4426349826335907	0.0013675315856933597
10	0.4433751702308655	0.4349136432647705	0.0015384730339050297
11	0.43531978130340576	0.42702919578552245	0.0017094144821166997
12	0.4287082850933075	0.42058864102363586	0.0018803559303283697
13	0.42107799649238586	0.4131292938709259	0.0020512973785400397
14	0.4141634702682495	0.4063857090950012	0.0022222388267517097
15	0.4085369408130646	0.40093012108802795	0.0023931802749633797
16	0.4018535315990448	0.39441765332221984	0.0025641217231750497
17	0.3964112401008606	0.3891463032722473	0.0027350631713867197
18	0.3916504979133606	0.384556502532959	0.0029060046195983897
19	0.38664886355400085	0.3797258096218109	0.0030769460678100598
20	0.3827289342880249	0.3759768218040466	0.0032478875160217298
21	0.3780513405799866	0.37147016954421996	0.0034188289642333998
22	0.37409937381744385	0.3676891442298889	0.00358977041244507
23	0.3710100054740906	0.3647707173347473	0.00376071186065674
24	0.3683021366596222	0.3622337899684906	0.003931653308868409
25	0.365626722574234	0.3597293173313141	0.004102594757080079
26	0.3633284270763397	0.35760196328163146	0.004273536205291749
27	0.3609914481639862	0.3554359258174896	0.004444477653503419
28	0.35861897468566895	0.353234393787384	0.004615419101715089
29	0.3565369248390198	0.3513232853889465	0.004786360549926759
30	0.3541637659072876	0.349121067905426	0.0049573019981384294
31	0.3520098030567169	0.347138046503067	0.0051282434463500995
32	0.349952757358551	0.3452519422531128	0.0052991848945617695
33	0.3477368950843811	0.34320702142715453	0.0054701263427734395
34	0.34580522775650024	0.34144629554748535	0.0056410677909851095
35	0.3437081277370453	0.33952013697624206	0.0058120092391967795
36	0.34171590209007263	0.3376988527774811	0.0059829506874084495
37	0.3399132192134857	0.33606711134910583	0.0061538921356201195
38	0.33786994218826294	0.3341947757720947	0.0063248335838317895
39	0.33610326051712036	0.3325990355491638	0.0064957750320434595
40	0.33425694704055786	0.330923663520813	0.0066667164802551295
41	0.33243975043296814	0.32927740836143493	0.0068376579284667996
42	0.3308667242527008	0.32787532362937927	0.00700859937667847
43	0.3290077745914459	0.32618731541633605	0.00717954082489014
44	0.32741668820381165	0.32476717047691345	0.00735048227310181
45	0.3257969915866852	0.32331841530799865	0.00752142372131348
46	0.32416385412216187	0.321856219291687	0.00769236516952515
47	0.32279711961746216	0.32066042623519897	0.007863306617736819
48	0.3211301565170288	0.3191644045829773	0.008034248065948489
49	0.3197212219238281	0.3179264114379883	0.008205189514160159
50	0.3183051645755768	0.3166812955379486	0.008376130962371829
51	0.3168613314628601	0.3154084038734436	0.008547072410583499
52	0.3156740665435791	0.31439208040237426	0.008718013858795169
53	0.3142075538635254	0.3130965091705322	0.008888955307006839
54	0.3129838705062866	0.3120437672615051	0.009059896755218509
55	0.31174972653388977	0.31098056473731994	0.009230838203430179
56	0.3104969561100006	0.30989873576164245	0.009401779651641849
57	0.3094777762889862	0.3090504973888397	0.009572721099853519
58	0.3082028925418854	0.30794655508995056	0.009743662548065189
59	0.3071642220020294	0.30707882599830627	0.009914603996276859
60	0.3057323694229126	0.3058179148674011	0.010085545444488529
