Iteration	Loss (h)	Total Cost (f)	Cost g
1	0.9175323247909546	0.9175323247909546	0
2	0.7338826060295105	0.5502328872680664	-0.1836497187614441
3	0.5610854625701904	0.20463860034942627	-0.35644686222076416
4	0.46077433228492737	0.0040163397789001465	-0.4567579925060272
5	0.44774383306503296	-0.022044658660888672	-0.46978849172592163
6	0.44553208351135254	-0.02646815776824951	-0.47200024127960205
7	0.44211116433143616	-0.033309996128082275	-0.47542116045951843
8	0.43685364723205566	-0.04382503032684326	-0.4806786775588989
9	0.4361012876033783	-0.045329749584198	-0.4814310371875763
10	0.43571770191192627	-0.04609692096710205	-0.4818146228790283
11	0.43542230129241943	-0.04668772220611572	-0.48211002349853516
12	0.43512657284736633	-0.047279179096221924	-0.48240575194358826
13	0.4348304867744446	-0.04787135124206543	-0.48270183801651
14	0.43454885482788086	-0.04843461513519287	-0.48298346996307373
15	0.4342730939388275	-0.04898613691329956	-0.4832592308521271
16	0.43385830521583557	-0.04981571435928345	-0.483674019575119
17	0.43345141410827637	-0.050629496574401855	-0.4840809106826782
18	0.43305230140686035	-0.05142772197723389	-0.48448002338409424
19	0.43263474106788635	-0.052262842655181885	-0.48489758372306824
20	0.43190962076187134	-0.053713083267211914	-0.48562270402908325
21	0.4315190315246582	-0.054494261741638184	-0.4860132932662964
22	0.43113628029823303	-0.055259764194488525	-0.48639604449272156
23	0.4306962192058563	-0.05613988637924194	-0.48683610558509827
24	0.4301016926765442	-0.05732893943786621	-0.4874306321144104
25	0.4288375675678253	-0.059857189655303955	-0.4886947572231293
26	0.4283389449119568	-0.060854434967041016	-0.4891933798789978
27	0.42782074213027954	-0.06189084053039551	-0.48971158266067505
28	0.4272521436214447	-0.06302803754806519	-0.4902801811695099
29	0.4266984164714813	-0.06413549184799194	-0.49083390831947327
30	0.42615941166877747	-0.06521350145339966	-0.4913729131221771
31	0.42563509941101074	-0.0662621259689331	-0.49189722537994385
32	0.42512524127960205	-0.06728184223175049	-0.49240708351135254
33	0.42462965846061707	-0.06827300786972046	-0.4929026663303375
34	0.4241483211517334	-0.06923568248748779	-0.4933840036392212
35	0.42368102073669434	-0.07017028331756592	-0.49385130405426025
36	0.42322760820388794	-0.07107710838317871	-0.49430471658706665
37	0.42278796434402466	-0.07195639610290527	-0.49474436044692993
38	0.42236191034317017	-0.07280850410461426	-0.4951704144477844
39	0.4219492971897125	-0.07363373041152954	-0.49558302760124207
40	0.4215500056743622	-0.07443231344223022	-0.4959823191165924
41	0.4211638867855072	-0.07520455121994019	-0.4963684380054474
42	0.4207196533679962	-0.07609301805496216	-0.4968126714229584
43	0.4202684164047241	-0.07699549198150635	-0.49726390838623047
44	0.41983070969581604	-0.07787090539932251	-0.49770161509513855
45	0.4194065034389496	-0.07871931791305542	-0.498125821352005
46	0.4189956784248352	-0.07954096794128418	-0.4985366463661194
47	0.41859784722328186	-0.08033663034439087	-0.49893447756767273
48	0.4182130992412567	-0.08110612630844116	-0.4993192255496979
49	0.41784119606018066	-0.08184993267059326	-0.4996911287307739
50	0.4174528121948242	-0.08262670040130615	-0.5000795125961304
51	0.4170722961425781	-0.08338773250579834	-0.5004600286483765
52	0.41670462489128113	-0.08412307500839233	-0.5008276998996735
53	0.4163495898246765	-0.08483314514160156	-0.5011827349662781
54	0.41600704193115234	-0.0855182409286499	-0.5015252828598022
55	0.41567695140838623	-0.08617842197418213	-0.5018553733825684
56	0.4153589606285095	-0.08681440353393555	-0.5021733641624451
57	0.41505298018455505	-0.08742636442184448	-0.5024793446063995
58	0.41475898027420044	-0.08801436424255371	-0.5027733445167542
59	0.4144766330718994	-0.08857905864715576	-0.5030556917190552
60	0.4142058491706848	-0.08912062644958496	-0.5033264756202698
61	0.4139418601989746	-0.08964860439300537	-0.50359046459198
62	0.4135826826095581	-0.09036695957183838	-0.5039496421813965
63	0.4132358133792877	-0.09106069803237915	-0.5042965114116669
64	0.4129011034965515	-0.09173011779785156	-0.5046312212944031
65	0.41257837414741516	-0.09237557649612427	-0.5049539506435394
66	0.4122675657272339	-0.09299719333648682	-0.5052647590637207
67	0.41196855902671814	-0.09359520673751831	-0.5055637657642365
68	0.41168108582496643	-0.09417015314102173	-0.5058512389659882
69	0.4114050269126892	-0.09472227096557617	-0.5061272978782654
70	0.41113150119781494	-0.09526932239532471	-0.5064008235931396
71	0.4108455181121826	-0.09584128856658936	-0.506686806678772
72	0.4105708599090576	-0.09639060497283936	-0.506961464881897
73	0.41030752658843994	-0.09691727161407471	-0.5072247982025146
74	0.4100552499294281	-0.09742182493209839	-0.5074770748615265
75	0.40981388092041016	-0.09790456295013428	-0.5077184438705444
76	0.4095834493637085	-0.0983654260635376	-0.5079488754272461
77	0.409361869096756	-0.09880858659744263	-0.5081704556941986
78	0.4091419279575348	-0.09924846887588501	-0.5083903968334198
79	0.408915638923645	-0.09970104694366455	-0.5086166858673096
80	0.4076494872570038	-0.10223335027694702	-0.5098828375339508
81	0.4056236445903778	-0.10628503561019897	-0.5119086802005768
82	0.4040265679359436	-0.10947918891906738	-0.513505756855011
83	0.40378880500793457	-0.10995471477508545	-0.51374351978302
84	0.40356573462486267	-0.11040085554122925	-0.5139665901660919
85	0.4033569097518921	-0.11081850528717041	-0.5141754150390625
86	0.4031621813774109	-0.11120796203613281	-0.5143701434135437
87	0.4029011130332947	-0.11173009872436523	-0.5146312117576599
88	0.40257105231285095	-0.11239022016525269	-0.5149612724781036
89	0.4023357331752777	-0.11286085844039917	-0.5151965916156769
90	0.40211644768714905	-0.1132994294166565	-0.5154158771038055
91	0.4019113779067993	-0.11370956897735596	-0.5156209468841553
92	0.4016796052455902	-0.11417311429977417	-0.5158527195453644
93	0.4013725519180298	-0.11478722095489502	-0.5161597728729248
94	0.4010844826698303	-0.11536335945129395	-0.5164478421211243
