Iteration	Loss (h)	Total Cost (f)	Cost g
1	0.48322752118110657	0.48322752118110657	0
2	0.47034528851509094	0.4574630558490753	-0.012882232666015625
3	0.46701860427856445	0.45080968737602234	-0.016208916902542114
4	0.4592372179031372	0.43524691462516785	-0.02399030327796936
5	0.4515376687049866	0.4198478162288666	-0.031689852476119995
6	0.44666585326194763	0.4101041853427887	-0.036561667919158936
7	0.4415571987628937	0.3998868763446808	-0.04167032241821289
8	0.4408038258552551	0.3983801305294037	-0.04242369532585144
9	0.4404136538505554	0.3975997865200043	-0.04281386733055115
10	0.43985411524772644	0.3964807093143463	-0.04337340593338013
11	0.43791189789772034	0.3925962746143341	-0.04531562328338623
12	0.4376651346683502	0.39210274815559387	-0.04556238651275635
13	0.4372781813144684	0.3913288414478302	-0.045949339866638184
14	0.43715667724609375	0.39108583331108093	-0.04607084393501282
15	0.4369635581970215	0.3906995952129364	-0.04626396298408508
16	0.43672415614128113	0.3902207911014557	-0.04650336503982544
17	0.436641126871109	0.39005473256111145	-0.04658639430999756
18	0.4363301396369934	0.38943275809288025	-0.04689738154411316
19	0.43614983558654785	0.38907214999198914	-0.047077685594558716
20	0.4359361529350281	0.3886447846889496	-0.04729136824607849
21	0.4357757866382599	0.3883240520954132	-0.04745173454284668
22	0.43558186292648315	0.38793620467185974	-0.04764565825462341
23	0.4354516267776489	0.3876757323741913	-0.04777589440345764
24	0.4353722333908081	0.38751694560050964	-0.04785528779029846
25	0.4335411787033081	0.38385483622550964	-0.04968634247779846
26	0.43279317021369934	0.3823588192462921	-0.05043435096740723
27	0.43181920051574707	0.3804108798503876	-0.0514083206653595
28	0.430484414100647	0.3777413070201874	-0.052743107080459595
29	0.43010321259498596	0.37697890400886536	-0.053124308586120605
30	0.42983192205429077	0.376436322927475	-0.053395599126815796
31	0.4281299412250519	0.3730323612689972	-0.05509757995605469
32	0.4274587333202362	0.37168994545936584	-0.05576878786087036
33	0.4266420006752014	0.37005648016929626	-0.05658552050590515
34	0.42555925250053406	0.36789098381996155	-0.05766826868057251
35	0.42520350217819214	0.3671794831752777	-0.05802401900291443
36	0.4248967170715332	0.36656591296195984	-0.058330804109573364
37	0.4240904748439789	0.3649534285068512	-0.059137046337127686
38	0.42354634404182434	0.3638651669025421	-0.05968117713928223
39	0.42316386103630066	0.36310020089149475	-0.06006366014480591
40	0.42293086647987366	0.36263421177864075	-0.06029665470123291
41	0.42259514331817627	0.36196276545524597	-0.0606323778629303
42	0.42208051681518555	0.3609335124492645	-0.06114700436592102
43	0.42154833674430847	0.3598691523075104	-0.061679184436798096
44	0.4213201403617859	0.3594127595424652	-0.06190738081932068
45	0.42105233669281006	0.35887715220451355	-0.06217518448829651
46	0.42064714431762695	0.35806676745414734	-0.06258037686347961
47	0.42019563913345337	0.35716375708580017	-0.0630318820476532
48	0.41972339153289795	0.35621926188468933	-0.06350412964820862
49	0.4194645881652832	0.35570165514945984	-0.06376293301582336
50	0.4191789925098419	0.35513046383857727	-0.06404852867126465
51	0.41890808939933777	0.35458865761756897	-0.0643194317817688
52	0.4183197319507599	0.3534119427204132	-0.06490778923034668
53	0.41805195808410645	0.3528763949871063	-0.06517556309700012
54	0.41774892807006836	0.35227033495903015	-0.06547859311103821
55	0.4175216257572174	0.35181573033332825	-0.06570589542388916
56	0.41720113158226013	0.3511747419834137	-0.06602638959884644
57	0.41689178347587585	0.35055604577064514	-0.06633573770523071
58	0.41660112142562866	0.34997472167015076	-0.0666263997554779
59	0.41626250743865967	0.34929749369621277	-0.0669650137424469
60	0.4160494804382324	0.3488714396953583	-0.06717804074287415
61	0.41566628217697144	0.3481050431728363	-0.06756123900413513
62	0.41536155343055725	0.34749558568000793	-0.06786596775054932
63	0.4150790274143219	0.34693053364753723	-0.06814849376678467
64	0.4148697257041931	0.34651193022727966	-0.06835779547691345
65	0.414666086435318	0.3461046516895294	-0.06856143474578857
66	0.41426700353622437	0.34530648589134216	-0.0689605176448822
67	0.4139972925186157	0.3447670638561249	-0.06923022866249084
68	0.4137249290943146	0.3442223370075226	-0.06950259208679199
69	0.41347476840019226	0.34372201561927795	-0.0697527527809143
70	0.4130614995956421	0.3428954780101776	-0.07016602158546448
71	0.41259390115737915	0.34196028113365173	-0.07063362002372742
72	0.4121648073196411	0.34110209345817566	-0.07106271386146545
73	0.41187041997909546	0.34051331877708435	-0.07135710120201111
74	0.411672443151474	0.34011736512184143	-0.07155507802963257
75	0.4114571213722229	0.33968672156333923	-0.07177039980888367
76	0.4113265573978424	0.33942559361457825	-0.07190096378326416
77	0.411085844039917	0.3389441668987274	-0.07214167714118958
78	0.41073665022850037	0.33824577927589417	-0.0724908709526062
79	0.41055628657341003	0.3378850519657135	-0.07267123460769653
80	0.4103245735168457	0.33742162585258484	-0.07290294766426086
81	0.41008076071739197	0.33693400025367737	-0.0731467604637146
82	0.4098314642906189	0.3364354074001312	-0.07339605689048767
83	0.40963760018348694	0.3360476791858673	-0.07358992099761963
84	0.40941107273101807	0.33559462428092957	-0.0738164484500885
85	0.4092682898044586	0.33530905842781067	-0.07395923137664795
86	0.4090552031993866	0.3348828852176666	-0.07417231798171997
87	0.40893152356147766	0.33463552594184875	-0.0742959976196289
88	0.4087687134742737	0.3343099057674408	-0.07445880770683289
89	0.4085756242275238	0.33392372727394104	-0.07465189695358276
90	0.4084145128726959	0.3336015045642853	-0.07481300830841064
91	0.4083162248134613	0.33340492844581604	-0.07491129636764526
92	0.4080885648727417	0.33294960856437683	-0.07513895630836487
93	0.40770283341407776	0.33217814564704895	-0.07552468776702881
94	0.405386358499527	0.3275451958179474	-0.07784116268157959
95	0.4048830568790436	0.3265385925769806	-0.07834446430206299
96	0.40450581908226013	0.3257841169834137	-0.07872170209884644
97	0.40412598848342896	0.32502445578575134	-0.07910153269767761
98	0.40376466512680054	0.3243018090724945	-0.07946285605430603
99	0.403170108795166	0.32311269640922546	-0.08005741238594055
100	0.40248221158981323	0.3217369019985199	-0.08074530959129333
101	0.40194642543792725	0.3206653296947479	-0.08128109574317932
102	0.4014691710472107	0.3197108209133148	-0.08175835013389587
103	0.40063562989234924	0.3180437386035919	-0.08259189128875732
104	0.39989304542541504	0.3165585696697235	-0.08333447575569153
105	0.3993266522884369	0.3154257833957672	-0.08390086889266968
106	0.3989333510398865	0.3146391808986664	-0.08429417014122009
107	0.3987099230289459	0.3141923248767853	-0.08451759815216064
108	0.3985375463962555	0.3138475716114044	-0.08468997478485107
109	0.3981570303440094	0.31308653950691223	-0.08507049083709717
110	0.3979127109050751	0.3125979006290436	-0.0853148102760315
111	0.3977816104888916	0.31233569979667664	-0.08544591069221497
112	0.3976609408855438	0.3120943605899811	-0.08556658029556274
113	0.3973926901817322	0.3115578591823578	-0.08583483099937439
114	0.397165983915329	0.3111044466495514	-0.08606153726577759
115	0.39703401923179626	0.31084051728248596	-0.0861935019493103
116	0.3968074321746826	0.31038734316825867	-0.08642008900642395
117	0.396681547164917	0.3101355731487274	-0.08654597401618958
118	0.3965151309967041	0.30980274081230164	-0.08671239018440247
119	0.3963575065135956	0.3094874918460846	-0.08687001466751099
120	0.39620932936668396	0.30919113755226135	-0.08701819181442261
121	0.39605873823165894	0.3088899552822113	-0.08716878294944763
122	0.39589637517929077	0.308565229177475	-0.0873311460018158
123	0.3957878649234772	0.3083482086658478	-0.0874396562576294
124	0.3956225514411926	0.3080175817012787	-0.08760496973991394
125	0.3955516517162323	0.30787578225135803	-0.08767586946487427
126	0.3953838050365448	0.30754008889198303	-0.08784371614456177
127	0.3953458368778229	0.3074641525745392	-0.08788168430328369
128	0.3952341079711914	0.30724069476127625	-0.08799341320991516
129	0.39513546228408813	0.3070434033870697	-0.08809205889701843
130	0.39505743980407715	0.30688735842704773	-0.08817008137702942
131	0.3949528932571411	0.30667826533317566	-0.08827462792396545
132	0.3948931396007538	0.306558758020401	-0.08833438158035278
133	0.39475372433662415	0.3062799274921417	-0.08847379684448242
134	0.3940723240375519	0.3049171268939972	-0.08915519714355469
135	0.3935522735118866	0.3038770258426666	-0.08967524766921997
136	0.3931967616081238	0.303166002035141	-0.09003075957298279
137	0.3930094540119171	0.30279138684272766	-0.09021806716918945
138	0.392926961183548	0.3026264011859894	-0.0903005599975586
139	0.3928217887878418	0.302416056394577	-0.09040573239326477
140	0.3927667438983917	0.3023059666156769	-0.09046077728271484
141	0.3926556706428528	0.302083820104599	-0.09057185053825378
142	0.39261165261268616	0.30199578404426575	-0.09061586856842041
143	0.3924776017665863	0.30172768235206604	-0.09074991941452026
144	0.3924059569835663	0.301584392786026	-0.09082156419754028
