Iteration	Loss (h)	Total Cost (f)	Cost g
1	0.6848779916763306	0.6848779916763306	0
2	0.6224303245544434	0.5599826574325562	-0.06244766712188721
3	0.5673635005950928	0.449849009513855	-0.11751449108123779
4	0.5206871628761292	0.35649633407592773	-0.16419082880020142
5	0.48945653438568115	0.29403507709503174	-0.19542145729064941
6	0.4619429409503937	0.2390078902244568	-0.2229350507259369
7	0.4452759325504303	0.20567387342453003	-0.23960205912590027
8	0.4394150674343109	0.19395214319229126	-0.24546292424201965
9	0.43647512793540955	0.18807226419448853	-0.24840286374092102
10	0.43396836519241333	0.1830587387084961	-0.25090962648391724
11	0.43122240900993347	0.17756682634353638	-0.2536555826663971
12	0.4284639358520508	0.172049880027771	-0.2564140558242798
13	0.4255094826221466	0.16614097356796265	-0.25936850905418396
14	0.4228168725967407	0.16075575351715088	-0.26206111907958984
15	0.42027246952056885	0.15566694736480713	-0.2646055221557617
16	0.41814154386520386	0.15140509605407715	-0.2667364478111267
17	0.4162137508392334	0.14754951000213623	-0.26866424083709717
18	0.414040207862854	0.14320242404937744	-0.27083778381347656
19	0.4120262861251831	0.13917458057403564	-0.27285170555114746
20	0.41009148955345154	0.1353049874305725	-0.27478650212287903
21	0.4082968831062317	0.1317157745361328	-0.2765811085700989
22	0.4064873158931732	0.12809664011001587	-0.27839067578315735
23	0.4035836458206177	0.12228929996490479	-0.2812943458557129
24	0.40226370096206665	0.11964941024780273	-0.2826142907142639
25	0.40042510628700256	0.11597222089767456	-0.284452885389328
26	0.3989681899547577	0.11305838823318481	-0.2859098017215729
27	0.3977462947368622	0.1106145977973938	-0.2871316969394684
28	0.39646610617637634	0.10805422067642212	-0.2884118854999542
29	0.39517179131507874	0.1054655909538269	-0.28970620036125183
30	0.3937991261482239	0.10272026062011719	-0.2910788655281067
31	0.39234262704849243	0.0998072624206543	-0.29253536462783813
32	0.39045557379722595	0.09603315591812134	-0.2944224178791046
33	0.3888426423072815	0.09280729293823242	-0.2960353493690491
34	0.3873112201690674	0.0897444486618042	-0.2975667715072632
35	0.38557443022727966	0.08627086877822876	-0.2993035614490509
36	0.3835843801498413	0.08229076862335205	-0.30129361152648926
37	0.38183218240737915	0.07878637313842773	-0.3030458092689514
38	0.3802213966846466	0.07556480169296265	-0.30465659499168396
39	0.3783099353313446	0.07174187898635864	-0.30656805634498596
40	0.37681904435157776	0.06876009702682495	-0.3080589473247528
41	0.3754834532737732	0.06608891487121582	-0.3093945384025574
42	0.3742043972015381	0.0635308027267456	-0.3106735944747925
43	0.372758686542511	0.060639381408691406	-0.3121193051338196
44	0.37167423963546753	0.05847048759460449	-0.31320375204086304
45	0.3704356253147125	0.05599325895309448	-0.31444236636161804
46	0.3694968819618225	0.05411577224731445	-0.31538110971450806
47	0.3682337999343872	0.05158960819244385	-0.31664419174194336
48	0.367159366607666	0.049440741539001465	-0.31771862506866455
49	0.36617353558540344	0.04746907949447632	-0.3187044560909271
50	0.3653114438056946	0.045744895935058594	-0.319566547870636
51	0.3645436465740204	0.044209301471710205	-0.3203343451023102
52	0.36388325691223145	0.042888522148132324	-0.3209947347640991
53	0.3629056215286255	0.04093325138092041	-0.3219723701477051
54	0.3621550500392914	0.0394321084022522	-0.3227229416370392
55	0.36131101846694946	0.03774404525756836	-0.3235669732093811
56	0.3605796694755554	0.03628134727478027	-0.32429832220077515
57	0.3598189353942871	0.03475987911224365	-0.32505905628204346
58	0.35900792479515076	0.03313785791397095	-0.3258700668811798
59	0.35831010341644287	0.031742215156555176	-0.3265678882598877
60	0.3575524687767029	0.030226945877075195	-0.3273255228996277
61	0.3567725419998169	0.028667092323303223	-0.32810544967651367
62	0.356106162071228	0.02733433246612549	-0.32877182960510254
63	0.3553563952445984	0.02583479881286621	-0.3295215964317322
64	0.3546058237552643	0.024333655834197998	-0.3302721679210663
65	0.35396912693977356	0.023060262203216553	-0.330908864736557
66	0.35308924317359924	0.02130049467086792	-0.3317887485027313
67	0.35201412439346313	0.019150257110595703	-0.33286386728286743
68	0.3510828912258148	0.017287790775299072	-0.33379510045051575
69	0.3500071167945862	0.015136241912841797	-0.3348708748817444
70	0.3490682542324066	0.013258516788482666	-0.33580973744392395
71	0.3482738435268402	0.011669695377349854	-0.33660414814949036
72	0.34709280729293823	0.009307622909545898	-0.33778518438339233
73	0.3459342122077942	0.0069904327392578125	-0.3389437794685364
74	0.34480541944503784	0.004732847213745117	-0.3400725722312927
75	0.34360530972480774	0.002332627773284912	-0.3412726819515228
76	0.3425813615322113	0.000284731388092041	-0.34229663014411926
77	0.341582715511322	-0.0017125606536865234	-0.34329527616500854
78	0.3405694365501404	-0.0037391185760498047	-0.3443085551261902
79	0.33913475275039673	-0.006608486175537109	-0.34574323892593384
80	0.33815690875053406	-0.008564174175262451	-0.3467210829257965
81	0.33679959177970886	-0.011278808116912842	-0.3480783998966217
82	0.33561959862709045	-0.013638794422149658	-0.3492583930492401
83	0.33461329340934753	-0.015651404857635498	-0.35026469826698303
84	0.3328803479671478	-0.019117295742034912	-0.35199764370918274
85	0.33171093463897705	-0.021456122398376465	-0.3531670570373535
86	0.3300333023071289	-0.024811387062072754	-0.35484468936920166
87	0.32855892181396484	-0.02776014804840088	-0.3563190698623657
88	0.3266230523586273	-0.03163188695907593	-0.35825493931770325
89	0.3249853253364563	-0.03490734100341797	-0.35989266633987427
90	0.3229425847530365	-0.03899282217025757	-0.36193540692329407
91	0.3206162750720978	-0.04364544153213501	-0.3642617166042328
92	0.31734365224838257	-0.05019068717956543	-0.367534339427948
93	0.315380334854126	-0.05411732196807861	-0.3694976568222046
94	0.31349802017211914	-0.057881951332092285	-0.3713799715042114
95	0.31057706475257874	-0.0637238621711731	-0.37430092692375183
96	0.3087491989135742	-0.06737959384918213	-0.37612879276275635
97	0.30646270513534546	-0.07195258140563965	-0.3784152865409851
98	0.3046415150165558	-0.075594961643219	-0.3802364766597748
99	0.30304351449012756	-0.07879096269607544	-0.381834477186203
100	0.3009244501590729	-0.08302909135818481	-0.3839535415172577
101	0.2988099753856659	-0.08725804090499878	-0.3860680162906647
102	0.2962830662727356	-0.09231185913085938	-0.38859492540359497
103	0.2942001223564148	-0.09647774696350098	-0.39067786931991577
104	0.2924404740333557	-0.09999704360961914	-0.39243751764297485
105	0.29120439291000366	-0.10246920585632324	-0.3936735987663269
106	0.2894275188446045	-0.10602295398712158	-0.3954504728317261
107	0.2877567410469055	-0.10936450958251953	-0.39712125062942505
108	0.28127750754356384	-0.12232297658920288	-0.4036004841327667
109	0.27895811200141907	-0.12696176767349243	-0.4059198796749115
110	0.27574557065963745	-0.13338685035705566	-0.4091324210166931
111	0.273181676864624	-0.13851463794708252	-0.41169631481170654
112	0.27170050144195557	-0.14147698879241943	-0.413177490234375
113	0.2701018154621124	-0.1446743607521057	-0.41477617621421814
114	0.26910626888275146	-0.14666545391082764	-0.4157717227935791
115	0.26797452569007874	-0.1489289402961731	-0.41690346598625183
116	0.26663729548454285	-0.15160340070724487	-0.4182406961917877
117	0.2656678557395935	-0.15354228019714355	-0.41921013593673706
118	0.26436951756477356	-0.15613895654678345	-0.420508474111557
119	0.26277634501457214	-0.15932530164718628	-0.4221016466617584
120	0.2620353400707245	-0.1608073115348816	-0.4228426516056061
121	0.26084792613983154	-0.16318213939666748	-0.424030065536499
122	0.2593478262424469	-0.16618233919143677	-0.42553016543388367
123	0.25871992111206055	-0.16743814945220947	-0.42615807056427
124	0.25759753584861755	-0.16968291997909546	-0.427280455827713
125	0.2562365233898163	-0.172404944896698	-0.4286414682865143
126	0.2555389702320099	-0.1738000512123108	-0.4293390214443207
127	0.2544349730014801	-0.17600804567337036	-0.43044301867485046
128	0.25337547063827515	-0.17812705039978027	-0.4315025210380554
129	0.25247862935066223	-0.1799207329750061	-0.43239936232566833
130	0.2508988678455353	-0.18308025598526	-0.4339791238307953
131	0.25010791420936584	-0.18466216325759888	-0.4347700774669647
132	0.24944287538528442	-0.18599224090576172	-0.43543511629104614
133	0.24857735633850098	-0.1877232789993286	-0.4363006353378296
134	0.24725204706192017	-0.19037389755249023	-0.4376259446144104
135	0.24603472650051117	-0.19280853867530823	-0.4388432651758194
136	0.24495801329612732	-0.19496196508407593	-0.43991997838020325
137	0.24428321421146393	-0.1963115632534027	-0.44059477746486664
138	0.2425624430179596	-0.19975310564041138	-0.44231554865837097
139	0.24152293801307678	-0.201832115650177	-0.4433550536632538
140	0.24059446156024933	-0.2036890685558319	-0.44428353011608124
141	0.23940278589725494	-0.20607241988182068	-0.4454752057790756
142	0.23792116343975067	-0.20903566479682922	-0.4469568282365799
143	0.23661290109157562	-0.21165218949317932	-0.44826509058475494
144	0.23546388745307922	-0.21395021677017212	-0.44941410422325134
145	0.23435695469379425	-0.21616408228874207	-0.4505210369825363
146	0.2329225391149521	-0.2190329134464264	-0.4519554525613785
147	0.23156242072582245	-0.22175315022468567	-0.4533155709505081
148	0.23036938905715942	-0.22413921356201172	-0.45450860261917114
149	0.229324609041214	-0.2262287735939026	-0.4555533826351166
150	0.2278985232114792	-0.2290809452533722	-0.4569794684648514
151	0.22654905915260315	-0.23177987337112427	-0.4583289325237274
152	0.22527475655078888	-0.2343284785747528	-0.4596032351255417
153	0.2240738570690155	-0.23673027753829956	-0.46080413460731506
154	0.22294530272483826	-0.23898738622665405	-0.4619326889514923
155	0.22188763320446014	-0.24110272526741028	-0.4629903584718704
156	0.22065021097660065	-0.24357756972312927	-0.4642277806997299
157	0.21926060318946838	-0.2463567852973938	-0.4656173884868622
158	0.21806789934635162	-0.24874219298362732	-0.46681009232997894
159	0.21681882441043854	-0.2512403428554535	-0.46805916726589203
160	0.215584859251976	-0.25370827317237854	-0.46929313242435455
161	0.21441316604614258	-0.2560516595840454	-0.470464825630188
162	0.2133028358221054	-0.25827232003211975	-0.47157515585422516
163	0.21225357055664062	-0.2603708505630493	-0.47262442111968994
164	0.21122941374778748	-0.2624191641807556	-0.4736485779285431
165	0.2095911204814911	-0.2656957507133484	-0.4752868711948395
166	0.20841385424137115	-0.26805028319358826	-0.4764641374349594
167	0.20729772746562958	-0.2702825367450714	-0.477580264210701
168	0.20624151825904846	-0.27239495515823364	-0.4786364734172821
169	0.20524482429027557	-0.2743883430957794	-0.479633167386055
170	0.20430637896060944	-0.2762652337551117	-0.48057161271572113
171	0.2032857984304428	-0.27830639481544495	-0.48159219324588776
172	0.20171688497066498	-0.2814442217350006	-0.4831611067056656
173	0.20065291225910187	-0.28357216715812683	-0.4842250794172287
174	0.1996476650238037	-0.28558266162872314	-0.48523032665252686
175	0.1987002044916153	-0.2874775826931	-0.48617778718471527
176	0.19781021773815155	-0.28925755620002747	-0.487067773938179
177	0.19685788452625275	-0.2911622226238251	-0.4880201071500778
178	0.19573958218097687	-0.29339882731437683	-0.4891384094953537
179	0.19463351368904114	-0.2956109642982483	-0.49024447798728943
180	0.19348496198654175	-0.29790806770324707	-0.4913930296897888
181	0.19238786399364471	-0.30010226368904114	-0.49249012768268585
182	0.1913418173789978	-0.30219435691833496	-0.49353617429733276
183	0.19034594297409058	-0.3041861057281494	-0.49453204870224
184	0.18939945101737976	-0.30607908964157104	-0.4954785406589508
185	0.188457190990448	-0.30796360969543457	-0.49642080068588257
186	0.18734516203403473	-0.3101876676082611	-0.49753282964229584
187	0.1862819492816925	-0.31231409311294556	-0.49859604239463806
188	0.18526846170425415	-0.31434106826782227	-0.4996095299720764
189	0.18430402874946594	-0.3162699341773987	-0.5005739629268646
190	0.1833881139755249	-0.31810176372528076	-0.5014898777008057
191	0.18251560628414154	-0.3198467791080475	-0.502362385392189
192	0.1814962774515152	-0.32188543677330017	-0.5033817142248154
193	0.18049393594264984	-0.3238901197910309	-0.5043840557336807
194	0.1795402467250824	-0.32579749822616577	-0.5053377449512482
195	0.1786341369152069	-0.32760971784591675	-0.5062438547611237
196	0.17773312330245972	-0.32941174507141113	-0.5071448683738708
197	0.17687413096427917	-0.3311297297477722	-0.5080038607120514
198	0.17606152594089508	-0.3327549397945404	-0.5088164657354355
199	0.1752941906452179	-0.3342896103858948	-0.5095838010311127
200	0.1745714247226715	-0.33573514223098755	-0.5103065669536591
201	0.17381243407726288	-0.3372531235218048	-0.5110655575990677
202	0.17252099514007568	-0.3398360013961792	-0.5123569965362549
203	0.17168892920017242	-0.3415001332759857	-0.5131890624761581
204	0.17086809873580933	-0.3431417942047119	-0.5140098929405212
205	0.17001599073410034	-0.3448460102081299	-0.5148620009422302
206	0.16916534304618835	-0.34654730558395386	-0.5157126486301422
207	0.16834339499473572	-0.34819120168685913	-0.5165345966815948
208	0.16747139394283295	-0.3499352037906647	-0.5174065977334976
209	0.16653844714164734	-0.3518010973930359	-0.5183395445346832
210	0.16563095152378082	-0.3536160886287689	-0.5192470401525497
211	0.1647666096687317	-0.3553447723388672	-0.5201113820075989
212	0.1639535278081894	-0.3569709360599518	-0.5209244638681412
213	0.16316629946231842	-0.3585453927516937	-0.5217116922140121
214	0.16189393401145935	-0.36109012365341187	-0.5229840576648712
215	0.16102047264575958	-0.3628370463848114	-0.523857519030571
216	0.16021524369716644	-0.3644475042819977	-0.5246627479791641
217	0.15948030352592468	-0.3659173846244812	-0.5253976881504059
218	0.15878209471702576	-0.36731380224227905	-0.5260958969593048
219	0.1581205278635025	-0.36863693594932556	-0.5267574638128281
220	0.1574949473142624	-0.3698880970478058	-0.5273830443620682
221	0.1569046676158905	-0.37106865644454956	-0.5279733240604401
222	0.1563185602426529	-0.3722408711910248	-0.5285594314336777
223	0.15508218109607697	-0.37471362948417664	-0.5297958105802536
