
Training Data Shape: torch.Size([100, 1]), torch.Size([100, 1])

--- TEST NAME: sine_parameter_scaling 	 Single Kernel 	 Hidden Sizes: (16, 16) ---

Iteration 39: New best loss = 0.13092881441116333
Iteration 40: New best loss = 0.12857110798358917
Iteration 41: New best loss = 0.1264106184244156
Iteration 42: New best loss = 0.12444736808538437
Iteration 43: New best loss = 0.12259320169687271
Iteration 44: New best loss = 0.11867234110832214
Iteration 45: New best loss = 0.11665571480989456
Iteration 46: New best loss = 0.11494508385658264
Iteration 47: New best loss = 0.11307770013809204
Iteration 48: New best loss = 0.11096752434968948
Iteration 49: New best loss = 0.10913388431072235
Iteration 50: New best loss = 0.10755432397127151
Iteration 51: New best loss = 0.10603877902030945
Iteration 52: New best loss = 0.1045493334531784
Iteration 53: New best loss = 0.10306985676288605
Iteration 54: New best loss = 0.10185609012842178
Iteration 55: New best loss = 0.10036270320415497
Iteration 56: New best loss = 0.09897897392511368
Iteration 57: New best loss = 0.0978609248995781
Iteration 58: New best loss = 0.09621341526508331
Iteration 59: New best loss = 0.09383484721183777
Iteration 60: New best loss = 0.09232625365257263
Iteration 61: New best loss = 0.09090498089790344
Iteration 62: New best loss = 0.08963070809841156
Iteration 63: New best loss = 0.08812971413135529
Iteration 64: New best loss = 0.08580396324396133
Iteration 65: New best loss = 0.08419592678546906
Iteration 66: New best loss = 0.08274980634450912
Iteration 67: New best loss = 0.08126987516880035
Iteration 68: New best loss = 0.07941970974206924
Iteration 69: New best loss = 0.07775715738534927
Iteration 70: New best loss = 0.07600463181734085
Iteration 71: New best loss = 0.07305047661066055
Iteration 72: New best loss = 0.07085126638412476
Iteration 73: New best loss = 0.06890740990638733
Iteration 74: New best loss = 0.06721891462802887
Iteration 75: New best loss = 0.0650743916630745
Iteration 76: New best loss = 0.06250263005495071
Iteration 77: New best loss = 0.060551080852746964
Iteration 78: New best loss = 0.0589330680668354
Iteration 79: New best loss = 0.05688998103141785
Iteration 80: New best loss = 0.05423574522137642
Iteration 81: New best loss = 0.05250629410147667
Iteration 82: New best loss = 0.05042913928627968
Iteration 83: New best loss = 0.048580069094896317
Iteration 84: New best loss = 0.04725266620516777
Iteration 85: New best loss = 0.04621715471148491
Iteration 86: New best loss = 0.04427850618958473
Iteration 87: New best loss = 0.042673248797655106
Iteration 88: New best loss = 0.04181431606411934
Iteration 89: New best loss = 0.040999870747327805
Iteration 90: New best loss = 0.0393601655960083
Iteration 91: New best loss = 0.03831692785024643
Iteration 92: New best loss = 0.037364620715379715
Iteration 93: New best loss = 0.036150068044662476
Iteration 94: New best loss = 0.034909993410110474
Iteration 95: New best loss = 0.03336493298411369
Iteration 96: New best loss = 0.031453937292099
Iteration 97: New best loss = 0.030289268121123314
Iteration 98: New best loss = 0.029742486774921417
Iteration 99: New best loss = 0.029236793518066406
Iteration 100: New best loss = 0.028605785220861435
Iteration 100: Best current loss = 0.028605785220861435
Search completed after 100 iterations.
Best loss found: 0.028605785220861435
Total training time: 83.2068 seconds

--- TEST NAME: sine_parameter_scaling 	 Single Kernel 	 Hidden Sizes: (64, 32) ---

Iteration 2: New best loss = 0.36922726035118103
Iteration 3: New best loss = 0.3252326548099518
Iteration 4: New best loss = 0.301238089799881
Iteration 5: New best loss = 0.287577748298645
Iteration 6: New best loss = 0.27411070466041565
Iteration 7: New best loss = 0.26034900546073914
Iteration 8: New best loss = 0.2502133846282959
Iteration 9: New best loss = 0.24359847605228424
Iteration 10: New best loss = 0.2288714349269867
Iteration 11: New best loss = 0.22310741245746613
Iteration 12: New best loss = 0.21710720658302307
Iteration 13: New best loss = 0.20686905086040497
Iteration 14: New best loss = 0.20286940038204193
Iteration 15: New best loss = 0.19933012127876282
Iteration 16: New best loss = 0.19610270857810974
Iteration 17: New best loss = 0.19316844642162323
Iteration 18: New best loss = 0.19058358669281006
Iteration 19: New best loss = 0.188370481133461
Iteration 20: New best loss = 0.1860894411802292
Iteration 21: New best loss = 0.17951776087284088
Iteration 22: New best loss = 0.17676638066768646
Iteration 23: New best loss = 0.17504720389842987
Iteration 24: New best loss = 0.17389272153377533
Iteration 25: New best loss = 0.1700400412082672
Iteration 26: New best loss = 0.15212002396583557
Iteration 27: New best loss = 0.14831221103668213
Iteration 28: New best loss = 0.14211298525333405
Iteration 29: New best loss = 0.13094350695610046
Iteration 30: New best loss = 0.1224023699760437
Iteration 31: New best loss = 0.11952445656061172
Iteration 32: New best loss = 0.11694427579641342
Iteration 33: New best loss = 0.11463356763124466
Iteration 34: New best loss = 0.11046161502599716
Iteration 35: New best loss = 0.10792180895805359
Iteration 36: New best loss = 0.10336712747812271
Iteration 37: New best loss = 0.09906376153230667
Iteration 38: New best loss = 0.09713190048933029
Iteration 39: New best loss = 0.09557359665632248
Iteration 40: New best loss = 0.09270324558019638
Iteration 41: New best loss = 0.09027858078479767
Iteration 42: New best loss = 0.08775289356708527
Iteration 43: New best loss = 0.08567329496145248
Iteration 44: New best loss = 0.08388525247573853
Iteration 45: New best loss = 0.0825212225317955
Iteration 46: New best loss = 0.08171803504228592
Iteration 47: New best loss = 0.0804409310221672
Iteration 48: New best loss = 0.07980135828256607
Iteration 49: New best loss = 0.0792887881398201
Iteration 50: New best loss = 0.07878538966178894
Iteration 51: New best loss = 0.0778186097741127
Iteration 52: New best loss = 0.0773695632815361
Iteration 53: New best loss = 0.07703831046819687
