Iteration	Loss (h + target_loss)	Total Cost (f)	Cost g
1	0.6721416115760803	0.6621416115760803	0
2	0.6475914120674133	0.6377258403897286	0.00013442832231521607
3	0.6257684826850891	0.6160373393297195	0.00026885664463043214
4	0.6035815477371216	0.5939848327040672	0.0004032849669456482
5	0.5828064680099487	0.5733441812992096	0.0005377132892608643
6	0.5641481876373291	0.5548203292489051	0.0006721416115760804
7	0.5445140600204468	0.535320629954338	0.0008065699338912965
8	0.5304225087165833	0.5213635069727898	0.0009409982562065126
9	0.5120183825492859	0.5030938091278077	0.0010754265785217286
10	0.5023778676986694	0.4935877225995064	0.0012098549008369445
11	0.493999183177948	0.48534346640110015	0.0013442832231521605
12	0.48692086338996887	0.4783995749354362	0.0014787115454673765
13	0.47863683104515076	0.47024997091293336	0.0016131398677825925
14	0.46888846158981323	0.460636029779911	0.0017475681900978085
15	0.46190696954727173	0.4537889660596847	0.0018819965124130245
16	0.45711395144462585	0.4491303762793541	0.0020164248347282407
17	0.45288246870040894	0.44503332185745237	0.0021508531570434567
18	0.44993287324905396	0.44221815472841264	0.0022852814793586727
19	0.4463176429271698	0.4387373527288437	0.0024197098016738887
20	0.4431270956993103	0.4356812338232994	0.0025541381239891046
21	0.4408186376094818	0.43350720405578613	0.0026885664463043206
22	0.4385731518268585	0.43139614659547804	0.0028229947686195366
23	0.43615904450416565	0.4291164675951004	0.0029574230909347526
24	0.43438664078712463	0.4274784922003746	0.0030918514132499686
25	0.432773619890213	0.42599989962577817	0.0032262797355651846
26	0.43131449818611145	0.42467520624399185	0.0033607080578804006
27	0.42991483211517334	0.42340996849536894	0.0034951363801956166
28	0.42830562591552734	0.4219351906180382	0.0036295647025108325
29	0.4267362356185913	0.42050022864341735	0.0037639930248260485
30	0.42505943775177	0.41895785909891126	0.0038984213471412645
31	0.4234981834888458	0.4175310331583023	0.0040328496694564805
32	0.4220474362373352	0.4162147142291069	0.0041672779917716965
33	0.4206033945083618	0.41490510082244875	0.0043017063140869125
34	0.4190003573894501	0.4134364920258522	0.0044361346364021285
35	0.4175806939601898	0.41215125691890714	0.0045705629587173445
36	0.41630953550338745	0.41101452678442	0.0047049912810325605
37	0.4151788055896759	0.41001822519302367	0.0048394196033477764
38	0.4140612781047821	0.40903512603044506	0.004973847925662992
39	0.4130629897117615	0.4081712659597397	0.005108276247978208
40	0.4120812714099884	0.4073239759802818	0.005242704570293424
41	0.41120755672454834	0.406584689617157	0.00537713289260864
42	0.4103557765483856	0.40586733776330947	0.005511561214923856
43	0.4095989763736725	0.4052449659109115	0.005645989537239072
44	0.40887144207954407	0.40465185993909836	0.005780417859554288
45	0.40769731998443604	0.4036121661663055	0.005914846181869504
46	0.40484920144081116	0.4008984759449959	0.00604927450418472
47	0.4037174880504608	0.39990119087696074	0.006183702826499936
